ARREST_PD_ DEPT,RACE,ARREST_DATE_TIME,ARREST_LOCATION,CHARGE,,,
BPD,BLACK NON-HISPANIC,1/20/12 20:10,Washington St/ Rockvale Cr,"Poss. W/I to Distribute, Class D",,,
BPD,BLACK NON-HISPANIC,1/20/12 23:20,Shawmut Av,"Poss. W/I to Distribute, Class B, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/21/12 15:00,King Street,"Poss. W/I to Distribute, Class A",,,
BPD,WHITE NON-HISPANIC,1/21/12 16:45,Marcy Rd,Conspiracy to Violate Drug Laws,,,
BPD,BLACK NON-HISPANIC,1/22/12 3:57,Harvard St,Possession of Class B,,,
BPD,WHITE NON-HISPANIC,1/22/12 9:17,Magnolia St,Possession of Class A,,,
BPD,BLACK HISPANIC,1/22/12 10:10,Gavin Wy,Possession of Class B,,,
BPD,BLACK NON-HISPANIC,1/22/12 12:45,O'Meara Court,Possession of Class D,,,
BPD,BLACK NON-HISPANIC,1/23/12 9:52,New Chardon Street,"Poss. W/I to Distribute, Class D",,,
BPD,WHITE HISPANIC,1/23/12 13:15,Boylston Street,"Distribution of Class B, Within 1000' School Zone",,,
BPD,WHITE NON-HISPANIC,1/23/12 14:00,Peble St/ Vincent St,"Poss. W/I to Distribute, Class D",,,
BPD,WHITE NON-HISPANIC,1/23/12 16:10,Old Colony Ave/Columbia Rd,"Poss. W/I to Distribute, Class B",,,
BPD,WHITE NON-HISPANIC,1/23/12 16:10,Old Colony Ave/Old Callahan Wa,"Poss. W/I to Distribute, Class A, Within 100' Play Ground",,,
BPD,WHITE HISPANIC,1/23/12 16:32,Ashmont St,"Distribution of Class B, Within 1000' School Zone",,,
ARREST_PD_ DEPT,RACE,ARREST_DATE_TIME,ARREST_LOCATION,CHARGE,,,
BPD,WHITE NON-HISPANIC,1/23/12 16:32,Ashmont St,Distribution of Class B,,,
BPD,WHITE NON-HISPANIC,1/23/12 17:46,Congress,"Distribution of Class B, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/23/12 18:54,Stuart/Washington,Distribution of Class B,,,
BPD,BLACK NON-HISPANIC,1/23/12 20:56,Beach St. @ Harrison Ave,Possession of Class B,,,
BPD,WHITE NON-HISPANIC,1/24/12 6:20,Sudbury Street,"Poss. W/I to Distribute, Class B, Within 1000' School Zone",,,
BPD,WHITE NON-HISPANIC,1/24/12 6:20,Sudbury Street,"Poss. W/I to Distribute, Class B",,,
BPD,WHITE NON-HISPANIC,1/24/12 16:36,West Fourth.St,"Class B, 100-199 grams, Within 1000' School Zone",,,
BPD,WHITE NON-HISPANIC,1/24/12 18:15,Pine Street,Possession of Class E,,,
BPD,WHITE NON-HISPANIC,1/24/12 18:30,South Bremen St & Marginal St,Possession of Class E,,,
BPD,BLACK NON-HISPANIC,1/24/12 21:15,Washington St,Distribution of Class D,,,
BPD,BLACK NON-HISPANIC,1/24/12 21:16,Wash.St/ East Berkeley,"Poss. W/I to Distribute, Class B",,,
BPD,BLACK NON-HISPANIC,1/25/12 7:04,Walden St,"Distribution of Class B, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/25/12 12:43,Warren St/ Zeigler St,Possession of Class B,,,
BPD,BLACK NON-HISPANIC,1/25/12 12:43,Warren St/ Zeigler St,Possession of Class B,,,
BPD,BLACK NON-HISPANIC,1/25/12 13:10,Washington Street,"Distribution of Class B, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/25/12 13:20,Warren St/ Zeigler St,Possession of Class B,,,
BPD,BLACK NON-HISPANIC,1/25/12 13:20,Warren St/ Zeigler St,Possession of Class B,,,
BPD,BLACK NON-HISPANIC,1/25/12 17:00,Mass Ave Bridge,"Poss. W/I to Distribute, Class D",,,
BPD,WHITE NON-HISPANIC,1/25/12 18:11,Washington St/Metopolitan Ave,Possession of Class B,,,
BPD,WHITE NON-HISPANIC,1/25/12 18:35,Austin St,"Poss. W/I to Distribute, Class C",,,
BPD,WHITE NON-HISPANIC,1/25/12 19:00,Commonwealth Ave @ Kelton St,Distribution of Class D,,,
BPD,WHITE HISPANIC,1/25/12 19:53,London St,"Distribution of Class B, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/25/12 20:59,Centre St,"Poss. W/I to Distribute, Class D, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/25/12 21:29,Mattapan St,Possession of Class B,,,
BPD,WHITE NON-HISPANIC,1/26/12 1:45,North St,"Knowingly being present, Class A",,,
BPD,WHITE NON-HISPANIC,1/26/12 1:45,North St,Possession of Class A,,,
BPD,BLACK HISPANIC,1/26/12 5:30,Westview St,"Poss. W/I to Distribute, Class B, Within 1000' School Zone",,,
BPD,WHITE HISPANIC,1/26/12 8:30,Boylston St,Possession of Class B,,,
BPD,WHITE NON-HISPANIC,1/26/12 15:35,Dennis St,"Poss. W/I to Distribute, Class B",,,
BPD,WHITE HISPANIC,1/26/12 15:47,Blue Hill Av,"Distribution of Class D, Within100' Play Ground",,,
BPD,BLACK NON-HISPANIC,1/26/12 18:45,Dudley St,Possession of Class B,,,
BPD,WHITE NON-HISPANIC,1/26/12 19:40,Franklin St @ Braintree St,"Distribution of Class D, Within 1000' School Zone",,,
BPD,WHITE NON-HISPANIC,1/26/12 19:40,Franklin St @ Braintree St,"Distribution of Class D, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/26/12 20:21,Washington St / Asticou Rd,"Poss. W/I to Distribute, Class A",,,
BPD,WHITE NON-HISPANIC,1/27/12 8:50,Presentation Road,Possession of Class A,,,
BPD,WHITE HISPANIC,1/27/12 10:10,School St,"Poss. W/I to Distribute, Class B, Within 1000' School Zone",,,
BPD,WHITE NON-HISPANIC,1/27/12 11:00,Saratoga St,Possession of Class A,,,
BPD,WHITE NON-HISPANIC,1/27/12 14:45,Sullivan Square,Possession of Class A,,,
BPD,WHITE HISPANIC,1/27/12 17:01,Eastman St,"Distribution of Class B, Within 1000' School Zone",,,
ARREST_PD_ DEPT,RACE,ARREST_DATE_TIME,ARREST_LOCATION,CHARGE,,,
BPD,WHITE HISPANIC,1/27/12 17:10,Geneva @ Holiday,"Distribution of Class A, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/27/12 18:15,Nightingale St,"Poss. W/I to Distribute, Class D, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/27/12 18:15,Nightingale St,"Poss. W/I to Distribute, Class D, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/27/12 18:15,Nightingale St,"Poss. W/I to Distribute, Class B, Within 1000' School Zone",,,
BPD,WHITE HISPANIC,1/27/12 21:30,Irma St,"Poss. W/I to Distribute, Class D",,,
BPD,BLACK HISPANIC,1/28/12 10:45,Dove Ct / Dove St,Possession of Class E,,,
BPD,WHITE NON-HISPANIC,1/28/12 15:15,Washington St,Distribution of Class B,,,
BPD,BLACK NON-HISPANIC,1/28/12 16:30,Mass Av,"Poss. W/I to Distribute, Class B",,,
BPD,WHITE NON-HISPANIC,1/28/12 18:15,Blackwell @ Chickatawbut,"Poss. W/I to Distribute, Class D",,,
BPD,WHITE HISPANIC,1/28/12 19:01,Paxton St,Possession of Class B,,,
BPD,WHITE HISPANIC,1/28/12 19:50,Dudley St,Possession of Class B,,,
BPD,WHITE HISPANIC,1/29/12 10:30,Blue Hill Ave/Morton,"Distribution of Class D, Within 1000' School Zone",,,
BPD,WHITE NON-HISPANIC,1/29/12 18:04,Green/Main,"Poss. W/I to Distribute, Class A",,,
BPD,BLACK NON-HISPANIC,1/30/12 11:49,Centre St,Possession of Class E,,,
BPD,BLACK NON-HISPANIC,1/30/12 12:20,Courthouse Way,Distribution of Class B,,,
